uuid,timestamp,value,true_label,predicted_anomaly,threshold,is_above_threshold
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966497,42883128.0,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966512,44565016.0,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966527,45954080.0,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966542,47483584.0,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966543,61634891.17511439,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966557,48925320.0,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966572,50299232.0,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966587,36458424.0,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966602,37888048.0,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966617,39389224.0,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966632,40789952.0,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966647,42212024.0,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966662,43794896.0,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966677,45242888.0,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966692,46627536.0,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966707,34354696.0,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966722,35703328.0,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966737,37148984.0,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966752,38523760.0,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966767,39998400.0,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966782,41321816.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966797,42819864.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966812,44114056.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966827,34430808.0,0,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966842,35809256.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966857,37430544.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966872,38995128.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966887,40487016.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966893,64086471.47371048,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966902,41952056.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966917,43480912.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966932,44818704.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966947,34751912.0,0,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966961,61082222.1477741,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966962,36147472.0,0,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966977,37509232.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749966992,38922344.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967007,40554024.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967022,42188288.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967036,11998772.27111778,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967037,43984000.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967052,45349032.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967067,35254136.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967082,36637904.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967097,38268368.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967098,16404179.761593182,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967112,39759928.0,0,0,2761158.134973797,1
